time ax ay az wx wy wz hm
481294946 -00.057565 +00.044364 -09.741590 -0.000793 +0.004387 +0.004330 +04.92
481294951 -00.250534 -00.060157 -09.844499 +0.002557 -0.002966 +0.002915 +04.92
481294956 -00.284250 -00.069536 -09.873473 +0.003471 -0.001925 +0.007949 +14.56
481294961 -00.284250 -00.069536 -09.873473 +0.003471 -0.001925 +0.007949 +15.44
481294966 -00.076486 +00.049937 -09.846450 +0.005770 +0.009387 +0.004675 +11.77
481294971 -00.008957 +00.221081 -09.758127 +0.001576 +0.015856 +0.010643 +17.72
481294976 -00.004016 +00.197552 -09.796457 -0.008154 +0.008020 +0.006354 +07.11
481294981 -00.086748 +00.039112 -09.689524 -0.007366 +0.003846 +0.006350 +07.11
481294986 -00.289788 +00.000267 -09.658411 +0.002250 +0.007928 +0.004661 +14.02
481294991 -00.289788 +00.000267 -09.658411 +0.001464 +0.001234 +0.001347 +04.43
481294996 -00.309026 -00.085198 -09.711969 +0.001081 +0.004634 +0.009052 +08.56
481295001 -00.052592 -00.021898 -09.804235 -0.000468 +0.012231 +0.006073 +00.94
481295006 +00.068449 +00.207241 -09.795715 -0.001248 +0.007626 +0.002762 +09.68
481295011 -00.100311 +00.159964 -09.892975 +0.000960 -0.000892 +0.003385 +09.68
481295016 -00.105311 +00.059722 -09.884679 +0.000007 -0.000884 +0.002753 +05.59
481295021 -00.105311 +00.059722 -09.884679 -0.001564 -0.004518 -0.001187 +02.57
481295026 -00.134940 -00.013067 -09.738178 -0.000602 -0.001312 -0.000550 +01.03
481295031 -00.250660 -00.008117 -09.791504 -0.001924 -0.000115 +0.004319 +08.22
481295036 -00.182692 +00.011792 -09.876393 +0.004628 +0.009021 +0.007028 +04.49
481295041 -00.032645 +00.126911 -09.916588 +0.004767 +0.008983 +0.009228 +04.49
481295046 -00.100082 +00.198502 -09.940136 +0.004767 +0.008983 +0.009228 +04.04
481295051 -00.100082 +00.198502 -09.940136 +0.000813 +0.007125 +0.004340 +02.48
481295056 -00.047574 +00.078383 -09.817292 +0.003245 +0.001921 -0.000846 +06.69
481295061 -00.100894 +00.096889 -09.760392 -0.003990 -0.000262 +0.003055 +06.60
481295066 -00.270534 +00.057232 -09.619476 -0.006690 -0.000561 +0.001159 +10.46
481295071 -00.256050 -00.080664 -09.668599 -0.001917 +0.001336 +0.004007 +10.46
481295076 -00.019104 -00.036787 -09.723168 +0.001537 +0.006513 +0.012042 +10.96
481295081 -00.019104 -00.036787 -09.723168 -0.001141 +0.013607 +0.010002 +08.90
481295086 -00.023377 +00.206935 -09.782229 -0.002893 +0.000663 +0.005574 +06.44
481295091 -00.128859 +00.284480 -09.963178 -0.001033 -0.004711 +0.010130 +14.02
481295096 -00.061566 +00.131735 -09.931067 -0.001033 -0.004711 +0.010130 +11.73
